122 62 22
1.39804e-76 102 7 0
1.39804e-76 103 7 0
1.39804e-76 104 7 0
1.39804e-76 105 7 0
1.39804e-76 106 7 0
1.39804e-76 107 7 0
1.39804e-76 108 7 0
1.39804e-76 109 7 0
1.39804e-76 110 7 0
1.39804e-76 111 7 0
1.39804e-76 112 7 0
1.39804e-76 113 7 0
1.39804e-76 114 7 0
1.39804e-76 115 7 0
1.39804e-76 116 7 0
1.39804e-76 117 7 0
1.39804e-76 118 7 0
1.39804e-76 119 7 0
1.39804e-76 120 7 0
1.39804e-76 121 7 0
1.39804e-76 0 8 0
1.39804e-76 1 8 0
1.39804e-76 2 8 0
1.39804e-76 3 8 0
1.39804e-76 4 8 0
1.39804e-76 5 8 0
1.39804e-76 6 8 0
1.39804e-76 7 8 0
1.39804e-76 8 8 0
1.39804e-76 9 8 0
1.39804e-76 10 8 0
1.39804e-76 11 8 0
1.39804e-76 12 8 0
1.39804e-76 13 8 0
1.39804e-76 14 8 0
1.39804e-76 15 8 0
1.39804e-76 16 8 0
1.39804e-76 17 8 0
1.39804e-76 18 8 0
1.39804e-76 19 8 0
1.39804e-76 20 8 0
